English,Igala
praise,jẹ́nyú
praises,àmajẹ́nyú
prayer,àduwa
prayers,àmọ́dùwa
preach,kọ́lọ́jọ̀
preaching,ẹ́kọ́lọ́jọ̀
precede,ch’ógwá
precisely,yìílí-yilì
predict,gbò
prediction,áchẹ̀
predatory,bíẹ́nẹ́
predominantly,jílíì
preference,áyé
preferences,ámáyẹ́
preferred,lí rẹ́ ejú
preliminary,ìchólò
premises,àjáanẹ̀
prepare,chọ́
prepared,chọ̀
preparing,ácho
presence,údógbo
present,ele
presentation,álù
Present,dẹ̀
presenting,ádú
president,Ààré
pressing,n’ójì
pressure,ónyà
presume,ténè
prevent,jé
prevented,jó
prevention,égbábọ̀tẹ́
previous,échí
previously,kw’ábì
price,ọ́kọ́
prices,àmaọ́kọ́
primitive,úgbọ́dú
principle,ọ̀fọ́
principles,àmọ̣́fọ́
print,ína
printing,ídí
Printing,úkọ́lọ́
priority,ọ̀gbà
prison,únyídúdú
prisoners,àbúnyí-úgá
privacy,íkúmà
private,májáà
privileges,àmadúkpẹ̀
prize,ódú
probably,kàní
problem,ọ̀là
problems,ìhíányì
proceed,nyí
proceeded,ló
proceeding,j’ífáfáí
process,ẹ́ló
Processing,ùnyé
produce,nyí
produced,nyí
producing,t’álú
product,álùgbó
production,úkọ́lọ́
Production,úkọ́lọ́
products,àmálùgbó
profession,úkọ́lọ́
professional,ẹ́gbá
professionals,àmẹ́gbá
professor,ítíchà
professors,àmọ́tí́chà
profit,ilé
profits,àmaìlè
program,álóọ̀
programmes,àmálóọ̀
progress,nyọ́gbá
project,ọ̀fọ́
projects,àmalọ̀fọ́
proliferation,ádútógù
prominent,gbẹ́
promise,ùgbalu
promised,gb’alù
promising,ákátá
promote,dá
promoting,ché
proof,ìjàlí
proof,álíí
proper,nyọ̀
properly,jálíí
property,ànénẹ̀
proposal,ọ̀lọ̀
proposals,àmọ́lọ̀
prosecution,ẹ̀kọ́
prospects,íkáni
prosperity,ánána
protect,dè
protected,jí
protecting,ché
Protection,ọ̀fọ́
provided,dúgbo
provider,ẹ́gbá
providing,dúgbo
provision,ìbúù
proximity,údọ́tẹ́
psychiatric,áhímú
psychological,áyẹ́
psychology,ùgbẹ́jú
public,ámọjà
Public,ójáà
published,kọ
publisher,ónú
pulled,fá
pulling,dọ́
pulse,ákàkàmí
pulses,ámákàkàmí
pump,bú
punishment,òbàtà
pupil,ọ́ma ìchèkpúlù
purity,ọ́la-échíchá
purple,àjàànú
purpose,ẹ̀tẹ̀
purposeful,ójínó
purposely,gẹ̀gẹ̀dẹ̀
purposes,àmaètẹ̀
pursued,chē
pursuit,àtẹ́nẹ́
push,k’ẹ̀chẹ̀
pushing,ákẹ́chẹ̀
put,du
qualifications,ùmà
qualities,àmálí
quality,údẹ́
quantities,àmalù
quantity,álu
Queen,Ébúlẹ̀ẹ́jonú
queens,àmébúlẹ̀
question,ènè
questioned,t’énè
Question,éné
questions,àméné
quickly,píóò
quickly,kpákpálá
quietly,chíí
quite,pìàà
quotes,àmákà
radio,írédíyò
rain,ómi ojáalè
raising,gw’álù
random,tílílí
randomly,tílílí
rank,ẹ̀kọ́
ranked,gbàlukà
rapid,bèlébélé
rapidly,yáájáá
rarely,kéè
rat,ìkélékwu
rated,dábú
rational,gbẹ́jú
rationale,ẹ̀tẹ̀
raw,èmímí
ray,úkpōlọ́
rays,ámákpōlọ́
reached,tú
reaching,tú
react,fìá
reaction,áyé
read,gbá
reader,ẹ́nẹ́ gbá
Reading,ùgbá
readily,kpọ́kpẹ́
reading,ẹ́gbá
Real,jálíí
reality,ojóojì
really,gbá
Really,àchē!
reasons,àmaètẹ̀
reasonable,jẹ́
reasonably,jẹ́jẹ́
recall,tibelọ̀
recalled,má
recede,dábúù
receive,gbà
received,gbá
receiver,énẹgbómù
receiving,ẹ́gbá
recent,òfeje-í
recently,òfeje-í
recognise,mà
recognising,d’éjúgō
recognition,ẹ́ jú émū
recommend,kẹ́dọ́nó
reconciliation,ànọ́rú
Record,fẹ̀ẹ́gā
record,álú
records,ámalù
recovery,bíẹ̀
recreation,íyáà
rectangular,dégùgō
red,ẹ̀kpíkpà
Red,b’ẹ́kpíkpà
reduction,ákwádúù
refer,dábú
Reference,údú
references,údú
reflect,cháñwà
reflection,áyẹ́
Reform,rídáà
refusal,ùkọ̀
refused,kọ̀
regard,líẹ́ júmómí
regarding,úgbó
regardless,íkánī
region,ójáanẹ́
Region,ójáanẹ́
Regional,ójáanẹ́
regime,ójínó
regime,ùdú
region,ọ̀mẹ́
regions,àmọ́mẹ́
Register,ọ̀tákáda
register,àbó
registered,chẹ́kò
Regulations,ámọ́dáà
reign,ẹ́gbà
reject,jẹ́
rejected,kpàgbé
relate,gbàkò
related,kámá
relates,ché
relation,ẹ́nẹ́
relations,àmọ́nẹ́
relationship,àdé
relationships,àmọ́dé
relative,éfú
relatively,dá
relatives,àbófúù
relax,mí
relaxed,gb’ọ́la
relaxation,ùmí
relevance,ójìjẹ́lí
reliability,álí
reliable,kpákáá
relied,néjú
relief,áyẹ́dọ̀
relieve,gba nyọ́
religion,ìchẹ́bọ́
rely,kẹ́dọ̀nó
remain,bọ̀
remained,che
remainder,àbìbọ̀
remains,àbìbọ̀
remark,kà
remarkably,ábàìlò
remarks,àmákà
remedies,àmọ́gwù
remember,gbá
remembering,íbē
remind,gbó kákó
reminded,kpégā
reminds,áche
removal,kpéñé
remove,kó
removed,kpá
rent,fáyà
rented,fáyà
repair,ñwọ́chẹ̀
repeat,dàbì
repeated,gẹ̄
repeatedly,gbẹ́gbà
replace,kójì
replacement,àkójì
reply,d’óhì
Report,bí úmi ọ́la
reported,kà
reporting,bíọ́la
represent,b’ámínáà
representative,ẹ́gbá
represented,ch’ámínáà
republic,ojáanẹ̀
Republic,ójáanẹ̀
request,bi
requested,dáhì
requests,àmadáhì
requirements,àmaténè
require,ténè
required,dúkpẹ
requiring,gbẹ́gbẹ́dẹ́
Research,ẹ́kọ́
researcher,étíchà
reserve,du tíbā
reserved,chẹ́
residence,àjáanẹ̀
resistance,álíí
resolution,álu
resolve,ọ̀kái
resource,ẹ́jẹ́
resources,àmẹ́jẹ́
respect,òjima
respectful,ájọ́fẹ́
respectfully,yọ́yọ́ó
respectively,ẹ́fúú
respond,gbómù
response,òhì
responses,àmọ́hì
responsibility,ùdú
responsibilities,ámadù
responsible,kpé
responsive,ché
rest,mí
restored,gbà tánẹẹẹ̀
restricted,kémíkémí
restrict,kẹ́mūhí
restrictions,òfè
result,álùgbó
resultant,tọ́ dú
results,àmálùgbó
Results,ámálùgbó
retirement,ẹ́gbá
retreat,dábì
retribution,ọ̀fọ́
retrospective,bíẹ́nẹ
return,lìá
returned,d’ojì
returning,dojí
reverse,dàbì
review,gòó
reviews,àmákà
Revolution,ògúdídí
reward,ọ́gwọ̄kọ́
rhetoric,ákọ́kọ́lọ́
rhetorical,àbígbo
rhythm,íjì
ridge,égbéẹ̀
ridges,àmagbéẹ̀
right,ẹ̀nọ̀
Rights,àmadúkpẹ̀
rising,jáà
risk,ójíétú
risks,àmójìétú
River,Ájì
river,ájì
rivers,àmájì
road,íkpadala
roads,ámíkpadala
rock,ópátá
rod,úmà
role,ùkpẹ̀
roles,ámúkpẹ̀
roll,kpá
rolled,nẹ́
roller,ílógbo
romance,ọ̀gẹ̀lẹ̀
room,ẹ́jẹ́efù
roots,ámálẹ́
rope,íkwúù
rotation,ẹ̀chó
rough,gbágádá
roughly,dábú
round,kòlòkòlò
Round,jòòlòò
roundabout,ádàgélē
route,ọ̀nà
routes,àmónà
Row,gbàjéélé
row,ógbá
rowdy,gbààgbà
Royal,éyí-Onú
royal,éyí-Onú
ruler,ónú
rules,àmodáà
rules,òfọ́
ruling,éjẹ
ruined,jó
ruins,òfòfo
run,rá
running,úrúlẹ́
rural,ọgbẹgbẹ́lè
sacrifices,àmọ́hídákà
sacrificial,ìjò
safety,ójìdí
said,kà
sailed,gwá
sailor,ẹ́nẹ́-jómi
salary,óchù
sale,àtá
salt,ómu
salutation,úgwáà
same,òkwùjọ
samples,ìjálí
sand,èbùtù
Saturday,Ọ́jọ́ ábàtà
save,yọ
saying,àtá
saying,akwú
says,akà
scandal,òdú ékpabiẹ́
scatter,kpatúká
scattered,tà
scene,ígò
scheme,ẹ̀fíyẹ
schemes,àmẹ̀fíyẹ
School,únyí íchèkpúlú
science,ùkọ̀
scientist,étíchà
scientists,ámọ́tíchà
sea,òhìmìnì
Seamless,kpàkpà
seams,ámájí
search,ténè
season,ègbà
seasonal,ọjó
seasonally,ọ́dọ́ọ́dọ́
seat,úñà
seated,gwùgwú
second,ẹ́kẹ́jì
section,ójú
Section,ọ̀fọ́
secure,jí
security,ád
security,ád
see,lí
seeing,lí
seek,ténè
seeking,áténè
seem,dábú
seemed,néjú
seemingly,dẹ́
seems,néjú
seen,lí
sees,áli
seeking,téné
seldom,káà
select,dọ́mọ
selected,dọ́mọ
self,ónúgò
sell,tà
seller,ẹ́nẹ́-àtà
selling,àtá
send,kpẹ́
sending,ákẹ́
sense,ùmà
sensible,ẹ́mú
sent,kpẹ́
sentence,ọ̀là
separate,dárú
separately,òjójì
separated,dárú
separation,àdárú
September,Sẹ̀ptẹ́ḿbà
sequence,ọ̀gbá
serious,ọ̀gbọ́ólọ́
seriously,pípí
seriously,gbégbédé
servant,édìbò
serve,rárẹ́
served,dú
service,ẹ́kwù
sessions,ìkò
set,du nẹ́
sets,ámádú
setting,àkàmójí
settings,ìgbélé
settlements,àmewó
settle,dárú
settled,jìọ́lá
seven,ẹ́bie
seventeen,ẹ̀gwẹ́tà
seventh,ẹ́kẹ́bie
several,káà
severally,ọ́jọ́jí
severe,bíẹ́nẹ́-bíẹ́nẹ
severely,kpókpòkpóò
severity,ìgbẹ̀
sexual,ìbẹ́tẹ̀
shaft,ókpó
shafts,àmọ́kpọ́
shake,gbẹ́
shall,ná
shame,údú
shape,ẹ̀kọ́
share,kpẹ́
sharp,jájá
sharply,kè
sharpen,já
sharpening,ẹ́jà
she,í
shed,m’ébū
sheet,ẹ́pá
sheets,ámépá
shell,ákpó
shells,àmakpó
shifted,hì gwùú
shifting,ábùgà-bùgà
shifts,ìkò
shirt,àfẹ̀
shirts,àmafẹ̀
shock,ẹ́gbúlú
shocked,dá
shocking,ágígba
shoes,àmẹ́dà
shop,ìjànyà
short,kpúkẹ̀
shortly,fàáfáí
shot,ẹ́yọ́
shots,àmẹ́yọ́
should,che
shoulder,ójìká
shoulders,ámójìká
shout,kpégwú
shouted,dógō
shouting,n’úká
Show,ñà
Show,lìá gòó
show,dú ñà
showed,du
showiness,efúfù
showing,adú
shown,ádú
shyness,éhìlẹ̀
sibling,ọ́maye
siblings,àmọ́maye
sick,lọ̀ọ́
sickness,ọ̀gá
sickly,ègbó
side,ọ́wó́
sides,àmọ́wọ́
sign,àmínáà
signals,àmínáà
significant,nána
significantly,náná
signs,àmínáà
silence,échì
silent,káàlìì
silly,ídádà
silver,ájífà
similarity,ojóojì
similarly,ábàlẹ́
simple,gbẹ́gbẹ́
simply,kékélé
simultaneously,ójóòkáà
since,kwúhíẹ
sincere,ọ̀gẹ́cha
sincerely,gbóló
single,kẹ́káà
singular,òókáà
Sir,àtógìjó
sister,ọ́maye
sisters,àmọ́maye
sites,ámúgbo
situated,dégō
six,mẹ́fà
sixteen,ẹ̀gwẹ́fà
size,ágọ́
sized,n’ágọ́
sizes,àmagọ́
sketch,ìfòtó
skilled,lìlẹ̀
skills,ùmà
skin,áñọ
skinny,gbẹ́gbẹ́
sky,ojáalè
sleep,ólù
sleeping,álẹ́lọ̀
slept,lẹ́
slightly,mélémélé
slowly,yẹ̀ẹ̀
small,kẹ́kẹ́
smaller,kẹ̀chùù
smaller,kékélé
smart,lìlẹ̀
smartly,kpákpálá
smell,lù
smelly,ábí
smile,àlú-ányí
smiling,ch’àlú-ányí
smoke,ódùdù
smoothly,kpálí
snake,ẹ́jóò
snap,kọdá
so,òñwùlẹ́
soap,óchẹ̀
social,gbẹ́gbẹ́dẹ́
society,àbọ́-ìlẹ̀
sociology,ẹ́kọ́-àbọ́-ìlẹ̀
soft,lọ́lá
soil,anẹ́
soldier,àjógwù
solidarity,ìdógò
solution,íbē
solved,kpà
solving,ágbē
some,dọ́mọ
somebody,ẹ́nẹ́
someone,ẹ́nẹ́
something,ẹ́ñwu
sometimes,ẹ̀gbáá káà
somewhat,dẹ́
somewhere,úgboó káà
son,ọ́ma
song,élí
songs,àmálí
soon,hàí
sophisticated,j’éjénẹ́ẹ̀
sort,dò
soul,ọ́lāí
Sound,ùkomù
sound,lúù
sound,fẹ̀
sounded,dúgbò
soundly,chọ̀ọ̀ọ̀
sounds,àmàlùù
sounds,àkúkòmù
source,ọ̀kpù
speaker,ẹnẹ́káàlù
special,ígbágbá
specialised,ùgbó
specialist,ọ́káà
specialists,àmájóká
specialization,úgbó
specifically,ádìgō
specification,ádígō
specified,k’alù
spectacular,ìfàfàmù
speech,ùkọ̀là
speeches,àmákọ̀là
speedily,píóò
spend,kpàgbíẹ
spending,fíá ọ́wọ́ mẹ́jì
spent,dú
sphere,òfúù
spine,ọ̀kpọ́lóló
spoiled,jó
spoken,kọ́láà
spread,fìá
spreading,úrè
stack,ádò
stacks,ámadù
staff,ùgwùgwú
stand,dágō
standard,údẹ́
standard,údūdẹ́lè
standing,àtó
standpoint,íbẹ
stands,àtó
star,ìláwọ́
stars,àmiláwọ́
start,rónó
started,chánẹ́
starts,cháné
state,ójáanẹ́
statement,ọ̀là
statements,àmọ̣́là
State,ójáanẹ́
station,àkádẹ̀
stationed,dẹ́
statue,òjìbó
steadily,pẹ́pẹ́
stem,ígáà
stems,àmáígáà
step,álọ̀
steps,àmálọ̀
stick,olí
sticks,àmólí
stomach,éfúù
stone,ọ̀kwúta
stop,mú
stopped,dá
stopping,múdā
story,ìlàkà
straight,kpáló
strange,ádúñà
stranger,ìlówáà
strategies,íbẹ́
strategy,ẹ̀kọ́
streets,àmíjónaà
strength,ífẹ́
strengths,àmaìfẹ́
stretch,kọ́nyí
stretching,fàà
string,íkwúù
stroke,álu
strong,gbíkó
strongly,gbígì
stronger,ágbojì
structure,éfúù
struggle,d’ógò
struggled,lí
struggling,bínyẹ́
studies,ìkémà
studies,ẹ́kọ́
Study,k’ìké
studying,íkémà
subjects,àmọ́lọ̀
subsequent,ọ́gbá
subsequently,úbí
substance,ẹ́ñwu
substantial,kàkpọ́ọ́
substitution,ẹ́gbò
succeeded,tányí
succeeding,rónọ́
successfully,álíì
succession,ògbá
such,abálẹ́
suddenly,áchígílī
Suddenly,áchígílī
suffering,áwọ́
sufficiently,álíì
sugar,íchùgáà
suggested,kà
suicide,lọ̀
suits,ámájọ
sum,ọ́kọ́
summarized,jìọ́lá
sums,àmọ̣́kọ́
summit,áchīgēnē
summoned,dógō
Sunday,Àládì
sun,ólù
superior,áchọ́gbá
superlative,lile
supervisor,ágbojí
Supply,d’ọ́wó́
supporters,ábó
Support,gbàtẹ̀kó̀
suppose,bàkú
Supreme,gbàlàkàtá
sure,ée
surely,píọ́ọ
surface,ánẹ́ẹ̀
surfaces,àmọ́nẹ́ẹ̀
surgery,úkọ́lọ́
surgical,ẹ́bíjè
surrender,kó
surrounded,gámá
surrounding,ámágbàgà
surroundings,ámágbàgà
survey,gòó
survived,jẹ́gbá
suspend,t’ámẹ̀
suspense,ọ̀lùgbè
sweeping,égbánẹ́ẹ̀
sweet,rínyọ̀
sweeter,rínyọ́ tùlè
sweat,úgwú
sweating,úgēgwúù
Sweden,Àméríkà
symbolically,áchábọ̀
symbols,íjó
sympathy,náàgò
symptom,úwọ́
symptoms,àmáwọ́
system,ọ̀nà
system,ùgbò
systems,àmaùgbò
table,itébùlù
taboo,élìfọ̀
tail,ótíyì
take,gbá
taken,dú
takes,áchē
taking,ádú
tale,ákọ́kọ́lọ́
tales,ámákọ́kọ́lọ́
talent,ẹ̀gbá
talents,ùmà
talk,kọ́là
talked,kà
talking,ákọ̀láà
tally,kálukà
tape,ọ́là ọ́dá
task,úkọ́lọ́
tasks,àmákọ́lọ́
taste,jómá
tasted,mọ
tasteless,ọ̀gbọ̀
tasty,rínyọ̀
tax,òdúù
tea,ómílé
teach,kọ́
Teacher,Ítíchà
tear,kpanà
tears,omi ákwú
teaspoon,ẹ̀kwó
techniques,ẹ̀kọ́
teeth,ényí
telephone,íló
tell,kà
telling,bíọ́la
tells,áche
temple,ẹ̀fúù
temporary,ìjọ́
temporarily,gbẹ̄gbẹ̄
tendency,ádí
tendencies,àmadí
tender,kpá
tenderly,míẹ́lẹ́
ten,ẹ̀gwá
Ten,ábúchẹ́ éfúù óchú
term,áchábọ́
terms,ikò
Terminology,ádí
territory,ójaanẹ́
territory,úgbo
tested,chẹ́ áñwàgọ́
Test,che ánwàgó
texts,ọ̀lọ̀ ọ́dákáda
thank,fú
thankful,ch’úgbédē
thanks,wọ́lá
thanks,àgwáà
that,k’í
That,abálẹ́
That,òñwúlẹ́
that,ọ́
the,lẹ́
theatre,òdèkélé
theme,ómi-ọ̀là
thee,wẹ̀
their,ma
them,má
theme,òfúù ọ̀là
then,tákù
theories,ìbégwù
theory,ábégwù
there,ànúmọ̀
thereafter,tákù
therefore,òñwulẹ́
therein,éfú
these,ínyé
they,á
thing,ẹ́ñwu
things,àmẹ́ñwu
think,íbẹ
third,ẹ́kẹ́tà
thirteen,ẹ̀gwẹ́tà
thirty,ogwégwā
this,ínyí
those,éma lẹ́
thou,ẹ́
thousand,ìchamú
three,mẹ́tà
threshold,álu-ójì
through,lẹ́fù
throughout,ọ́dọ́ dúú
throwing,gwó
thumb,ókpónó
Thursday,Ẹ́tọ́
thy,wẹ
tie,kwù
ties,àmẹ́fúù
timber,olí
time,ikò̀
time,ọ̀kpánachi
times,ikò
times,ámáìkò
tin,àkpḗ
tiny,rẹ́kẹ́rẹ́kē
tips,ámákà
tired,kè
tiresome,kàkpọ́ọ́
tissue,ẹ́gbẹ̀
tissues,àmẹ́gbẹ̀
title,ọ́fẹ́
titled,n’ọ́fẹ́
to,sí
tobacco,átábáà
today,ífáí
together,dàmá
told,kà
tomb,ójì
tomorrow,ọ́na
tomorrow,ígọ́ọ́na
tonight,óníì
tongue,ẹ́láà
tonight,ódú
too,yẹ́
tool,ìdónà
tools,ìmígbélí
topic,ọ́là
topics,àmọ̣́lá
Top,gbàlàkàtá
top,ójí
torture,ìgbé
totally,hieelẹ́
tour,gọ́
toward,sì
towards,rù
town,ẹ́wọ́
Town,éfèwọ́
towns,àméwọ́
township,ẹ́wọ́-lilé
trade,ájá
Trade,ájá
trades,ámájọ̀
traditionally,gbẹ́gbẹ́dẹ́
Traditional,ígbélé
traditions,ọ̀gwù
tragedy,ùchòbí
tragic,áláìdígō
trail,ékpá
trails,àmẹ́kpá
train,ómótọ̀ anẹ̀
trait,ẹ́kọ́
traits,àmálí
trans,ẹ̀gbá
transactions,àgò
transferred,dúgbá
transfer,ùgbádúgbà
translate,ché
translation,ẹ́kọ́
transmitted,du lẹ̀
Transport,ẹ́gwáà
transported,du lè
trap,ódù
travel,úlẹ̀
traveler,òlówáà
travelling,ílẹ́-óko
treachery,óló
treaties,àmágbalu
treat,híyẹ́hìá
treating,áyá
treaty,àmágbalu
tree,olí
trees,ámólí
Tree,olí
trends,àmálí
trickery,ìgòchèlèmá
troops,àmájógwù
TRUE,ée
trunk,ólí-ẹ̀kpẹ̀
truth,ọ̀gẹ́cha
tried,dọ́mọ́
tries,átẹ́né
Tuesday,Ẹ́dẹ̀
tube,ùbẹ̀
tubes,àmábùbẹ̀
tumor,ìké
tumors,àmíkẹ́
turn,ùbi
turning,ágbìgbìdí
turns,àlú
TV,ẹ̀télévíshọ̀nù
twelve,ẹ̀gwẹ́jì
twenty,ógwú
twice,ẹ̀jìì
twin,ẹ́jìmá
twins,ámẹ́jìmá
two,méjì
type,àché
types,ùchẹ́
tyranny,ìnyà
ugly,kpárákpárà
unable,nèkè
unbending,chẹ̀
uncle,ómẹ̀nyí
unconcerned,n’ẹ́dọ̀
underground,ẹ́fú ànẹ́
Understanding,Ùmà
understanding,ùmà
Under,n’ọ́fẹ́
undergraduate,óma-íchèkpúlú
understand,gbọ́
understanding,ùmà
understood,gbà
undesirable,bibi
unemployment,íyé
Unfortunately,átányí
unhappy,n’ùyọ̀
unified,jí
Union,ìkàmà
unique,gbágbá
United,àmẹ́jọ̀
units,ámáchẹ̀
Unit,òké
unity,ẹ̀dọ̀ọ̀káà
Universal,chákáá
universe,ilẹ̀
universities,àmunyí-íké
university,únyí-íké
university,àbó-íchèkpúlù
unlimited,álẹ́
unless,ñáí
unnecessary,gẹ̄ẹ́gẹ̄
unlike,gbàákáà
unload,rọ́gwú
unpredictable,ógójó
unreasonable,ábàìló
until,tákú
unto,fúù
unusual,àdúñà
upon,ójí
Upper,òkì
upright,kpàkpà
uprising,òlí
upset,bú
Urban,òdò̀ lilé
urge,chálò
urine,ìtọ̀
use,chẹ́
useless,ẹ́wàì
user,ẹnẹ́káàchí
using,chè
utility,èkwù
utmost,gbàlí
utterly,gbàálá
utterance,ùkọ̀là
utterances,úkọ̀là
uvula,ònónò ọ̀fá
vagina,ọ̀bù
valued,jẹ́nyú
values,àlí
vanished,tákpáránẹ́ẹ̀
variation,ojóojì
varied,ójóojì
variety,ójóojì
various,jọ́ọ́jí
vein,ílì
vent,íhígá
ventilation,ẹ̀kọ̀ áfù
venture,íjííyà
verdict,ọ̀gẹ̀cha
verse,àbùbú
version,ídádà
vertical,éjìjẹ́lẹ́
very,lọ́lọ́
vessels,àgọ̀
victim,énẹ
victims,àménẹ́
victor,ọ́gà
viewed,gòó
viewing,égọ̀
viewpoint,ùdágō
village,éwọ́
villages,àmẹ́wọ́
village,àbúchẹ́
violent,n’ákpúlú
violating,gbẹ́bīẹ́nẹ́
visibly,kpọ́kpẹ́
vision,éjú
visit,b’ónà
visited,dúgbò
visitors,ábó-ọ́nōnōjò
vocal,édíọ́
vocational,ẹ́gbá
voice,ómùù
Vol.,úkpẹ̄
Vol,ùkpẹ̄
volunteer,ówú
volunteers,ábówú
vote,jábè
voters,àmájọ́bé
vs.,ójóojì
wall,ọ́dọ̀
walls,àmọ́dọ̀
want,ténè
wanted,ténè
ward,ùbìdégō
washed,gwẹ̀
washing,ágwẹ̀
waste,àwúyà
wasteful,ch'íbẹ̄bẹ́
way,ọ̀nà
ways,àmónà
we,à
weak,yégẹ̀yégẹ̀
weakness,ágọ̀
weaknesses,àbábìfìì
wealth,ídúù
wealthy,ánána
weapon,ẹ́gbẹ́
wear,nẹ́
wearing,ání
weary,chúbà
weather,anẹ́
wedding,álùkáàgọ́
Wednesday,Àfọ̀
week,Àládì
weekend,íjósáàbátà
weeks,ámaÀládì
weekly,àládì
weighted,dòkòò
what,ábú
whatever,ẹ́ñwu dúú
wheel,ọ́ká
wheels,ámọ́ká
when,álu
Where,úgbò
which,énẹ́
Which,kalí
white,éfúfú
White,fúfú
whole-heartedly,kpàí ọ́wọ́ méjì
Why,édú
wife,ọ́yáà
winds,ámafùù
wind,áfù
wine,ọ́tẹ́
wing,íká
wipe,li
wire,íwáyáà
wise,jẹ́gbẹ́jú
wish,téné
wishing,téné
without,gbẹ̄
witness,ìjálí
witnesses,àmíjálí
witnessing,ábígbọ
woman,ónōbúlẹ́
women,ábọ́
English,Igala
women,àbóbúlẹ
wonder,áwúwù
wonderful,àlìfía
wondered,áwúwù
wonders,àmáwúwù
wood,olí
wooden,olí
woods,àmólí
word,ọ̀là
words,ọ̀là
work,úkọ́lọ́
worked,ch'úkọ́lọ́
worker,ẹ́nẹ́-ùkólọ́
workers,àbó-ùkólọ́
working,ch’úkọ́lọ́
world,ìlẹ̀
worlds,àmìlẹ̀
World,àná
World,ìlẹ̀
worried,d’éjìjì
worry,d’éjìjì
worse,bíẹ́
worth,ọ́kọ́
worthless,òfòfo
worthy,ọ̀gbóóló
would,neke
wound,ágbéẹ̀
wounded,gbá
wounds,àmágbéẹ̀
wrap,kó ló
wrapped,ch’ẹ́
write,kọ
writer,ákọ́tākāda
writers,àmákọ́tākāda
writes,ákò
writing,ẹ́kọ́
writings,àmọ́kọ́
written,kọ́
wrong,ẹ̀bíẹ́nẹ
wrongly,àdùré
wrote,kọ
yard,àgádà
yards,àgádà
year,ọ́dọ́
years,ámọ́dọ́
years,ájọ́dúdújọ́dùù
yesterday,ọ̀nálẹ́
yet,tá
yield,gbí
yielding,gbí
you,wẹ
young,kẹ́kẹ́
younger,òkékélé
Young,kẹ́kẹ́
your,wẹ
yourself,ónúgò
yourselves,àmonẹ̀ ónúgò
youth,ùgbitẹ̀rẹ̀
zero,òfo
zinc,ágbámú
zone,ẹ́gbà
zones,àmẹ́gbà
òkwúta	stone
ùwẹ	you
ọ́nẹkẹ̀lẹ	Man
gbà	give
ébíjè	devil
àwa	we
únyí	house
chẹ́	Fold
ónobule	smell
òñwu	he
òñwu	she
òñwu	it
éwó	goat
ọ́maye	sister
ọ́maye	brother
ónonojò	stragers
ónonojò	visitors
òmi	I
j’ójí	steal
Àtá wa	Our father
Àtá	father
òkólóbíáà	young man
ébi	Hunger
èjìmá	twins
èkìlì-ẹrẹ̀	Ankle
ènè	question
ílojí	hair
Agba	Hello
èmí	here
ọ̀mọ́	There
fàáfáī	Just now
ẹ́rẹrẹ̀	immediately
àbaba	Initially
du	take
hieele 	all
ájọfẹ	chief
ẹ́ñwu	Something
ẹ̀bìẹ̀	blood
áji	stream
ímọ́	nose
ìtì	cheek
úlo	pimple
óyó	fat
ọ́gọ́́lọ̄	ditch
bá	boast
fà	crawl
gbà	recieve
gwẹ̀	wash
hì	cook
jó	burn
kà	say
Kpẹ̣́	divide
kwà	shout
lí	see
mí	rest
nẹ	own
nyí	create
ñmọ	drink
ñwá	peel
rá	run
tà	sell
ùlù 	smell
àwa	we
òmi 	i
mà	they
ẹ̀	you
abalẹ	be
 ta	to
 óñwù	of
 mányu	 and
òmi	am
 efù 	in
 elẹ	that
enẹ	have
ẹñwù 	it
 ñwù 	for
ìche	not
 ójìñwù 	on
kpai	with
Ọnẹkẹlẹ	he
 Abalẹ	as
 chè 	do
 ugbo	 at
 eyì	this
ùyọ̀ 	joy
ẹ̀gbà 	time
éfufu	white
égbé 	grass
ejodudu	firtr
ane̩	and
ile̩.	world
júgwúú	disarray
òfòfo 	empty
ẹ̀chúbi 	darkness
ọ̀lùlù	climax
kà dufù	Divulge
ẹ̀dẹ̀bọ́ 	Happiness
taki	because
ámáà 	but
bàkú 	must be
cháí	unless
ìchèkpúlù	School
íchẹ́kà 	even if
ìchẹ̀kíbọ̀ 	remainder
dágba	may be
déké	go
íchẹñwu 	if
ídábálẹ̄	if so
kpai	and
múdáà	however
todú 	because of
àákpà 	corn
á	will
ìbá 	beside
íbe 	mind
ìgbẹ̀lẹ́ 	young girl
íhia	sneeze
íkáakàla	crab
íkáakàla	perharps
íkétè	sore
íkọ́líkọ́ 	horror
ìkpà 	bag
íkpágolo 	container
íkpékēè 	hiccup
íkwẹ́kwẹ́ẹ̀ 	derision
ẹ́nẹ ikwẹ́kwẹ́ẹ̀	clown
ìlá 	mistake
ílo	bell
ìlówáà	Foreigner
ímọtọ	child
ímú 	Mosquito
ínáà 	insult
ìnajọ́ 	dawn
ínéè	tax
ípílò 	pillow
ítébùlù	table
ìtékwú 	ocean
ítélénì 	tray
ítíchà 	teacher
íwáyáà	wire
íyáà	joke
íye 	mother
já	grate
já	fight
jàbe	vote
jádá 	cut
jágajàga 	untidy
jàjà 	very 
jálíí	obviously
jámù	collide
já-tō	assemble
jẹ́ 	agree
jijì	far away
jó	burn
kàdó 	touch
kàtàà 	profusely
kálí 	which
katé 	only
ké	proud
kéee 	why
kékélé	small
kẹ̀chẹ̀ 	push
